logFC	AveExpr	t	P.Value	adj.P.Val	B
33425	0.8395553886505	3.29867487896441	8.97249047830455	2.24771420321069e-18	6.16098463100049e-14	29.4603791328019
35568	1.68458111123781	1.3521674745009	8.19257730028908	1.08660780385621e-15	1.48919599518493e-11	23.7134042331312
18952	2.10833440983936	1.84141439976263	6.85157305475089	1.51346107548768e-11	6.91399467985289e-08	15.1153293363184
22581	1.03967281883627	1.88281437547092	6.5699575856963	9.35652853299349e-11	3.20578058861689e-07	13.4669304190659
18005	-1.07975218955505	3.12294943110589	-6.04057463876935	2.40633232943666e-09	7.32861879442876e-06	10.5580793209038
35567	1.0221043309863	1.48208880224958	6.00412206800373	2.98345630502696e-09	8.1776537320789e-06	10.3741434578805
2627	-0.632592002541104	2.12045273479283	-5.93230615817934	4.54186011636164e-09	1.13174896172248e-05	9.97571750452967
29969	0.791285971558889	1.91894766236247	5.30807308758371	1.45675874493789e-07	0.000249560982492173	6.88212360545794
5420	1.00091887856962	3.06435512665421	5.24497948342667	2.030176829564e-07	0.000327336158225584	6.67913754581258
38818	0.612544677914718	5.5456868342203	4.97194137345405	8.2041595949355e-07	0.00108675777527471	5.41200719347118
33562	-0.945050160948703	1.41495420968081	-4.9689867587888	8.32612669856579e-07	0.00108675777527471	5.33668514347079
23601	0.838264554530213	1.04815149256141	4.93555354482451	9.83406304244125e-07	0.00117263872817136	5.17066789210173
3649	0.686037772091761	3.59487706678951	4.61539330060926	4.60738665610603e-06	0.00467735067569875	3.82160669941096
24839	0.656575131150661	2.2202325877618	4.56180896082845	5.91410120080837e-06	0.00578948263979134	3.59433298993139
12175	0.591285994598188	3.66278406561446	4.54792827282822	6.30664847055761e-06	0.00596087015786152	3.56500612987166
23600	0.742385847019323	0.91032599692917	4.51134739314748	7.46445361607053e-06	0.00677342843224913	3.38562773754923
30662	0.670605555023381	3.58650793293995	4.4832309416066	8.49006672013426e-06	0.00705190087269333	3.322015429702
21174	0.981392303826199	3.72837753564413	4.43547469063991	1.05483648250562e-05	0.0082608765672797	3.12587216646849
28113	0.682963817704156	2.62712939609711	4.44127264830673	1.02751054005552e-05	0.0082608765672797	3.10774461425282
26247	0.725376780366903	7.95247166176829	4.41585204424795	1.15257104679817e-05	0.00853837091695621	3.05193936192518
26916	0.932268867665862	5.23527474189759	4.38719622993587	1.31099093877611e-05	0.00921391323893672	2.93053677126104
319	-0.697743538161452	3.01893591728506	-4.32289297196258	1.74566543926566e-05	0.0116704121195785	2.64431029745283
315	-0.703757400770058	3.40185353806109	-4.25227528630537	2.38067744067685e-05	0.0145378447501966	2.37343304055807
8158	0.655169454303674	5.40818553226871	4.22766816347423	2.64971933189638e-05	0.0152893398895792	2.30343915280212
10027	0.672838045509768	1.58639429366728	4.22130622387407	2.72385418752401e-05	0.0152893398895792	2.26014690242136
317	-0.699687150444546	3.43376167995259	-4.22083422705208	2.72943234315573e-05	0.0152893398895792	2.25351772095705
18803	0.770441414571995	2.27134344451273	4.21781566383344	2.76536454353919e-05	0.0152893398895792	2.23782646042401
18935	0.602351665174259	3.48296454786426	4.20017232233569	2.98456968279109e-05	0.0152893398895792	2.19805322960884
4242	0.627887295120935	2.11034505443316	4.19804215893689	3.0121282525986e-05	0.0152893398895792	2.16956074618932
39100	0.754974006618808	0.874382848762673	4.09682449937659	4.64010298119457e-05	0.0219284866749212	1.78515162676359
34777	0.593969807426786	0.415607893284505	3.96005377841723	8.19986729376575e-05	0.0322974292303152	1.27701481648282
27396	0.841045549926958	1.12165064643019	3.9543261353162	8.39468548874837e-05	0.0322974292303152	1.26944836096076
27870	0.781694874294827	2.7975315784533	3.9438745457127	8.76152913656352e-05	0.0322974292303152	1.23463873585614
29992	0.705633441827771	0.910358022611162	3.93206043878755	9.19445628217622e-05	0.0322974292303152	1.19025469948856
35566	0.657301685054015	1.48982974091548	3.9290323908911	9.3086352031919e-05	0.0322974292303152	1.18153881716771
27305	0.684800564039541	1.70955775650985	3.91974218898837	9.66737297014296e-05	0.0324299040542533	1.14775703711825
27303	0.685056336264793	1.39122304343634	3.89155411269615	0.000108375840703927	0.0353640689725551	1.04761169872311
5343	0.648065997651344	1.92046608951442	3.85411490841175	0.000125998910291865	0.0392457969443184	0.9146734851092
20222	0.620612635743227	1.94081320264487	3.84945774737129	0.000128371421137451	0.039535512959298	0.898428823063675
19004	0.643866801260152	1.50607986290615	3.81947025229822	0.000144688165483848	0.0413114855824195	0.795780616134541
18495	0.611985116837209	2.73331794710899	3.77282436465401	0.000174008981334733	0.0463080173525419	0.634111288753068
8163	0.704148055946871	1.34882495815411	3.76000730876133	0.000182996953747473	0.0468780046936284	0.591992727482476
36429	0.643297828967245	2.36923752671069	3.7551956295972	0.000186482678373557	0.0473286130946223	0.571308941360113
3643	0.604884637381753	1.24484471384917	3.7415124891925	0.000196740055953106	0.0487332644483271	0.528774741147695
