logFC	AveExpr	t	P.Value	adj.P.Val	B
1590	1.8095542457454	1.61973513685655	6.64761901335231	1.67646765116324e-10	4.86645029779666e-06	12.7379626029463
11074	1.74972279587505	2.16079052062082	6.40526159259746	6.75873491488819e-10	9.80962785546871e-06	11.4911992462705
34398	2.67293685255924	3.12143640530132	5.72871234742296	2.78538164819882e-08	0.000269513528279718	8.12505475543184
1588	1.63212489399876	1.56791473786167	5.53382042971522	7.48934013595244e-08	0.000543501413666069	7.37565659465862
1591	1.43648620257277	1.45241355742369	4.90512016311104	1.62647817413152e-06	0.00944268168773793	4.6827946853791
4992	1.07249037394131	1.83369866964624	4.59250412356395	6.75929956423229e-06	0.0327014912917558	3.44597330224655
10713	1.48184100807051	2.4662489710089	4.50105762671657	1.01132693070194e-05	0.039556204400657	3.06937181988583
1506	1.05681793309381	1.99178238436564	4.45419676251686	1.24022527487666e-05	0.039556204400657	2.90804532918304
24853	-1.33604774297566	2.03988750065994	-4.40111639694714	1.55953558178457e-05	0.039556204400657	2.708469340007
33547	1.05983050023796	2.93095460061432	4.38941523469429	1.63984483747235e-05	0.039556204400657	2.61276442806707
29824	1.07571727613983	2.22415436238333	4.36378728519624	1.82981404575049e-05	0.039556204400657	2.55802814451489
8437	0.894048752956841	2.24243484609014	4.36096555261602	1.85197461651226e-05	0.039556204400657	2.54438917285559
16011	1.26354753571225	0.843853855450057	4.35400208748646	1.90776788483257e-05	0.039556204400657	2.54277331818922
3562	0.9244848389525	2.67604708595646	4.35987729040624	1.86058982817189e-05	0.039556204400657	2.51662430499171
34432	-0.8127147864771	2.88288972672155	-4.32543709485102	2.15394770087412e-05	0.0416831959073159	2.38702129311111
17682	-0.743971241498315	2.30343932775834	-4.2724683249727	2.69312053794392e-05	0.0488599393596476	2.21818328623658
