GeneSymbol	n	Tissues
269	OBSCN	4	2
270	PLEKHH2	4	1
271	PRSS21	4	1
272	RARB	4	2
273	SIPA1L1	4	1
274	SLFN13	4	1
275	TNIK	4	2
276	ABCC3	4	2
277	DOC2A	4	1
278	ESRP2	4	1
279	ITGA3	4	2
280	PTK7	4	1
281	RDH13	4	2
282	SEMA4A	4	1
283	TRPV4	4	1
284	WWC1	4	1
285	NRG2	4	1
286	ZNF559-ZNF177	4	2
287	ANO1	4	1
288	EPS8L2	4	1
289	MAPKBP1	4	2
290	PAK6	4	1
291	RP11-161M6.2	4	1
292	ADGRE2	4	1
293	AKAP9	4	2
294	ALG13	4	2
295	C11orf80	4	1
296	CD3D	4	1
297	CNN1	4	2
298	COCH	4	1
299	COL17A1	4	2
300	DKK3	4	2
301	EPB41	4	3
302	FHOD3	4	2
303	FNIP1	4	2
304	FOLH1	4	1
305	IQGAP2	4	1
306	KIAA1324	4	1
307	KIF23	4	1
308	KLK8	4	1
309	KRT8	4	2
310	LMAN2L	4	2
311	MBNL1	4	2
312	MLIP	4	2
313	MOK	4	2
314	MTFR1L	4	2
315	MZB1	4	1
316	PLEKHA1	4	2
317	PPFIBP1	4	2
318	PROM1	4	1
319	PTPRF	4	2
320	ROGDI	4	2
321	SCPEP1	4	1
322	SLC4A5	4	2
323	SUN1	4	2
324	TMEM144	4	2
325	TP63	4	1
326	TPD52L1	4	1
327	VAV3	4	1
328	ADAT1	4	1
329	AP4E1	4	1
330	CREM	4	1
331	IPO4	4	1
332	MTMR3	4	1
333	SNAP23	4	1
334	TNPO1	4	1
335	ZC4H2	4	1
336	AASS	4	1
337	ALDOA	4	1
338	BACE1	4	1
339	COG4	4	1
340	EXOG	4	1
341	HSPA9	4	1
342	PER1	4	1
343	PIGT	4	1
344	RAB3IP	4	1
345	SEC31A	4	1
346	SMC4	4	1
347	USB1	4	1
348	EIF4G3	4	1
349	NF1	4	1
350	PDK1	4	1
351	ARID1A	4	2
352	PDE4DIP	4	1
353	PHC1	4	1
354	SLC38A7	4	1
355	ABCB7	4	1
356	ACSL1	4	1
357	ALDH7A1	4	1
358	ANKRD27	4	1
359	ASCC2	4	1
360	ATP6V1D	4	1
361	B3GALNT1	4	2
362	CDC27	4	1
363	CERS4	4	1
364	CFAP61	4	1
365	DCAF11	4	1
366	DDHD2	4	1
367	DHX40	4	1
368	ELN	4	2
369	GSR	4	1
370	HDAC8	4	1
371	IMPA1	4	1
372	IPO5	4	1
373	IRAK1	4	1
374	KIAA0319L	4	1
375	LARGE1	4	1
376	LCN10	4	1
377	LGALS8	4	1
378	LONP1	4	1
379	MAGI1	4	1
380	MCFD2	4	1
381	METAP2	4	1
382	MMP19	4	1
383	NDUFS1	4	1
384	NUP214	4	1
385	RAB6A	4	1
386	RPN2	4	1
387	RTN3	4	1
388	SCRN3	4	1
389	SEC61A2	4	1
390	SLC35F6	4	1
391	SLC6A6	4	1
392	TP53BP1	4	1
393	TSPAN3	4	1
394	UBR1	4	1
395	UEVLD	4	1
396	USP10	4	1
397	VPS26A	4	1
398	WNK1	4	1
399	ZEB1	4	1
400	ZMYND8	4	1
401	GREB1L	3	3
402	ANKRD65	3	2
403	CYTL1	3	2
404	FAM189A2	3	2
405	NPNT	3	2
406	PPP1R12A	3	2
407	VCL	3	3
408	ALG8	3	2
409	CCDC191	3	2
410	CLASP1	3	3
411	CNIH1	3	2
412	GPC3	3	3
413	MBTPS1	3	2
414	MTFR1	3	2
415	PDGFRA	3	3
416	RBFOX2	3	3
417	SOS2	3	2
418	SPDL1	3	2
419	SPTAN1	3	2
420	STRADA	3	2
421	TARS	3	2
422	TOX4	3	2
423	NPY1R	3	2
424	TMPRSS5	3	2
425	ACER3	3	2
426	ADD2	3	1
427	AP3B2	3	2
428	EEF1D	3	2
429	EZH1	3	2
430	FBXO21	3	2
431	FCHO1	3	2
432	GSKIP	3	2
433	KIDINS220	3	2
434	MTA3	3	1
435	NOL4	3	2
436	NOMO2	3	2
437	PEG10	3	2
438	PKIB	3	2
439	PTPN4	3	2
440	RASGRP2	3	1
441	RNPEP	3	2
442	RYR2	3	3
