Run	Bases	biospecimen_repository_sample_id	body_site	LibraryLayout
SRR1084079	6007894088	GTEX-XYKS-1326-SM-4BRUN	Breast - Mammary Tissue	phs000424
SRR1086772	5572402536	GTEX-S341-1526-SM-4AD6K	Breast - Mammary Tissue	phs000424
SRR1469547	7585526712	GTEX-11EMC-2026-SM-5A5JV	Breast - Mammary Tissue	phs000424
SRR1472415	8227696312	GTEX-ZF2S-2026-SM-5E461	Breast - Mammary Tissue	phs000424
SRR1472506	5793799960	GTEX-12WSK-2226-SM-5GCO5	Breast - Mammary Tissue	phs000424
SRR1472704	5667311944	GTEX-12ZZX-1126-SM-5EGKB	Breast - Mammary Tissue	phs000424
SRR1473403	6825747568	GTEX-13N11-1726-SM-5J1OJ	Breast - Mammary Tissue	phs000424
SRR1475408	5854823704	GTEX-ZF3C-2326-SM-5S2MZ	Breast - Mammary Tissue	phs000424
SRR1475824	6661067576	GTEX-Y8LW-1626-SM-5IFHX	Breast - Mammary Tissue	phs000424
SRR1486262	4986887592	GTEX-13W3W-1226-SM-5LU4H	Breast - Mammary Tissue	phs000424
SRR1488694	6503477168	GTEX-11I78-2226-SM-5PNYA	Breast - Mammary Tissue	phs000424
SRR1490246	6816845080	GTEX-145ME-1526-SM-5Q5F2	Breast - Mammary Tissue	phs000424
SRR821498	7879119272	GTEX-WI4N-1426-SM-3LK7H	Breast - Mammary Tissue	phs000424
SRR1437644	5896419264	GTEX-146FH-0826-SM-5SI8T	Breast - Mammary Tissue	phs000424
SRR1443244	9226652776	GTEX-Y114-2026-SM-4TT7L	Breast - Mammary Tissue	phs000424
SRR1090046	5460193400	GTEX-R53T-1526-SM-48FEK	Breast - Mammary Tissue	phs000424
SRR1091097	6023850136	GTEX-RWS6-1926-SM-47JXY	Breast - Mammary Tissue	phs000424
SRR1091791	4495182640	GTEX-XUW1-2326-SM-4BOO5	Breast - Mammary Tissue	phs000424
SRR1092517	5228980272	GTEX-S4P3-1326-SM-4AD6V	Breast - Mammary Tissue	phs000424
SRR1095816	5461881664	GTEX-S4UY-0726-SM-4AD6X	Breast - Mammary Tissue	phs000424
SRR1096125	4352884800	GTEX-T5JW-2026-SM-4DM63	Breast - Mammary Tissue	phs000424
SRR1096547	4491646056	GTEX-QVJO-1826-SM-447C9	Breast - Mammary Tissue	phs000424
SRR1096987	4525468488	GTEX-XUJ4-1926-SM-4BOOV	Breast - Mammary Tissue	phs000424
SRR1098264	5979116384	GTEX-XUZC-1626-SM-4BRVP	Breast - Mammary Tissue	phs000424
SRR1417725	6702652952	GTEX-ZVZQ-0826-SM-51MRF	Breast - Mammary Tissue	phs000424
SRR1418729	8120790912	GTEX-13O3O-0826-SM-5K7WE	Breast - Mammary Tissue	phs000424
SRR1420238	7864867296	GTEX-13FTX-1126-SM-5N9EN	Breast - Mammary Tissue	phs000424
SRR1105009	5685585688	GTEX-R3RS-0626-SM-48FE1	Breast - Mammary Tissue	phs000424
SRR1070208	6255771432	GTEX-XV7Q-2326-SM-4BRVZ	Breast - Mammary Tissue	phs000424
SRR1070260	7406175224	GTEX-XOT4-0726-SM-4GIAW	Breast - Mammary Tissue	phs000424
SRR1074860	4617117192	GTEX-SE5C-2126-SM-4BRUJ	Breast - Mammary Tissue	phs000424
SRR1077920	5883623600	GTEX-RU72-0626-SM-46MUI	Breast - Mammary Tissue	phs000424
SRR1078258	5003158432	GTEX-U3ZN-1926-SM-4DXSG	Breast - Mammary Tissue	phs000424
