Run	Bases	biospecimen_repository_sample_id	body_site	submitted_subject_id
SRR1442313	5793994064	GTEX-139T8-0826-SM-5L3DE	Breast - Mammary Tissue	GTEX-139T8-0826-SM-5L3DE
SRR1090674	5417265560	GTEX-R55D-0826-SM-48FEA	Breast - Mammary Tissue	GTEX-R55D-0826-SM-48FEA
SRR1090791	6726237120	GTEX-VUSG-2226-SM-4KKZO	Breast - Mammary Tissue	GTEX-VUSG-2226-SM-4KKZO
SRR1415257	5319839184	GTEX-QEG5-0726-SM-4R1JQ	Breast - Mammary Tissue	GTEX-QEG5-0726-SM-4R1JQ
SRR1415420	6092678016	GTEX-13O61-1826-SM-5KM4I	Breast - Mammary Tissue	GTEX-13O61-1826-SM-5KM4I
SRR1415792	6045534304	GTEX-11NSD-0926-SM-5N9DR	Breast - Mammary Tissue	GTEX-11NSD-0926-SM-5N9DR
SRR1417422	5811772592	GTEX-11WQC-1726-SM-5GU4W	Breast - Mammary Tissue	GTEX-11WQC-1726-SM-5GU4W
SRR1417894	6153264912	GTEX-144GL-2026-SM-5LU3O	Breast - Mammary Tissue	GTEX-144GL-2026-SM-5LU3O
SRR1418795	7940986920	GTEX-Y5V6-2126-SM-4WWFX	Breast - Mammary Tissue	GTEX-Y5V6-2126-SM-4WWFX
SRR1419656	6291990144	GTEX-13PVQ-1026-SM-5KM3M	Breast - Mammary Tissue	GTEX-13PVQ-1026-SM-5KM3M
SRR1420296	9010910208	GTEX-ZU9S-1926-SM-5NQBP	Breast - Mammary Tissue	GTEX-ZU9S-1926-SM-5NQBP
SRR1420517	5256442568	GTEX-ZYW4-0826-SM-5GIDG	Breast - Mammary Tissue	GTEX-ZYW4-0826-SM-5GIDG
SRR1420936	8307349480	GTEX-ZT9W-2026-SM-51MRA	Breast - Mammary Tissue	GTEX-ZT9W-2026-SM-51MRA
SRR1099981	4318231384	GTEX-QEL4-2126-SM-447AE	Breast - Mammary Tissue	GTEX-QEL4-2126-SM-447AE
SRR1100472	4808619408	GTEX-SIU7-1626-SM-4BRUK	Breast - Mammary Tissue	GTEX-SIU7-1626-SM-4BRUK
SRR1100893	5884344384	GTEX-S4Q7-1126-SM-4AD6R	Breast - Mammary Tissue	GTEX-S4Q7-1126-SM-4AD6R
SRR1102949	4907619896	GTEX-PSDG-1626-SM-48TCQ	Breast - Mammary Tissue	GTEX-PSDG-1626-SM-48TCQ
SRR1068977	6706681864	GTEX-XBED-1626-SM-47JYN	Breast - Mammary Tissue	GTEX-XBED-1626-SM-47JYN
SRR1068999	7362000224	GTEX-U8XE-0826-SM-4E3J1	Breast - Mammary Tissue	GTEX-U8XE-0826-SM-4E3J1
SRR1070738	8064785980	GTEX-RUSQ-2026-SM-4GIAK	Breast - Mammary Tissue	GTEX-RUSQ-2026-SM-4GIAK
SRR1071084	5490019752	GTEX-S7SE-0826-SM-4AT4D	Breast - Mammary Tissue	GTEX-S7SE-0826-SM-4AT4D
SRR1071905	4518849648	GTEX-XQ3S-1326-SM-4BOPQ	Breast - Mammary Tissue	GTEX-XQ3S-1326-SM-4BOPQ
SRR1075484	6309089992	GTEX-XMD1-0826-SM-4AT52	Breast - Mammary Tissue	GTEX-XMD1-0826-SM-4AT52
SRR1076219	7432002608	GTEX-X4XY-0926-SM-4E3JD	Breast - Mammary Tissue	GTEX-X4XY-0926-SM-4E3JD
SRR1076441	7169795768	GTEX-REY6-2426-SM-48FF5	Breast - Mammary Tissue	GTEX-REY6-2426-SM-48FF5
SRR1077139	5469761344	GTEX-U3ZH-1426-SM-4DXSR	Breast - Mammary Tissue	GTEX-U3ZH-1426-SM-4DXSR
